tm_id,dfl_id,club_name,shirt_number,full_name_tm,date_of_birth,position,saison
85543,NULL,"Bayer 04 Leverkusen",36,NiklasLomb,NULL,Torwart,2022_2023
85543,NULL,"Bayer 04 Leverkusen",36,NiklasLomb,NULL,Torwart,2023_2024
85543,NULL,"Bayer 04 Leverkusen",36,NiklasLomb,NULL,Torwart,2024_2025
85543,NULL,"Bayer 04 Leverkusen",36,NiklasLomb,NULL,Torwart,2025_2026
85791,NULL,"Borussia Mönchengladbach",18,StefanLainer,NULL,"Abwehr - Rechter Verteidiger",2022_2023
85791,NULL,"Borussia Mönchengladbach",18,StefanLainer,NULL,"Abwehr - Rechter Verteidiger",2023_2024
85791,NULL,"Borussia Mönchengladbach",NULL,StefanLainer,NULL,"Abwehr - Rechter Verteidiger",2024_2025
85864,NULL,"FC Schalke 04",1,LorisKarius,NULL,Torwart,2024_2025
85864,NULL,"FC Schalke 04",1,LorisKarius,NULL,Torwart,2025_2026
85867,NULL,"Borussia Dortmund",14,NicoSchulz,NULL,"Abwehr - Linker Verteidiger",2022_2023
85906,NULL,"1.FSV Mainz 05",21,"Dannyda Costa",NULL,"Abwehr - Innenverteidiger",2022_2023
85906,NULL,"1.FSV Mainz 05",21,"Dannyda Costa",NULL,"Abwehr - Innenverteidiger",2023_2024
85906,NULL,"1.FSV Mainz 05",21,"Dannyda Costa",NULL,"Abwehr - Innenverteidiger",2024_2025
85906,NULL,"1.FSV Mainz 05",21,"Dannyda Costa",NULL,"Abwehr - Innenverteidiger",2025_2026
85908,NULL,"SV 07 Elversberg",11,LucaDürholtz,NULL,"Mittelfeld - Zentrales Mittelfeld",2022_2023
85908,NULL,"SV 07 Elversberg",11,LucaDürholtz,NULL,"Mittelfeld - Zentrales Mittelfeld",2023_2024
85908,NULL,"SV 07 Elversberg",11,LucaDürholtz,NULL,"Mittelfeld - Zentrales Mittelfeld",2024_2025
89701,NULL,"Bayer 04 Leverkusen",NULL,CharlesAránguiz,NULL,"Mittelfeld - Zentrales Mittelfeld",2022_2023
90317,NULL,"1.FSV Mainz 05",33,DanielBatz,NULL,Torwart,2023_2024
90317,NULL,"1.FSV Mainz 05",33,DanielBatz,NULL,Torwart,2024_2025
90317,NULL,"1.FSV Mainz 05",33,DanielBatz,NULL,Torwart,2025_2026
91849,NULL,"TSG 1899 Hoffenheim",17,ThomasDelaney,NULL,"Mittelfeld - Zentrales Mittelfeld",2022_2023
93604,NULL,"SC Freiburg",17,LukasKübler,NULL,"Abwehr - Rechter Verteidiger",2022_2023
93604,NULL,"SC Freiburg",17,LukasKübler,NULL,"Abwehr - Rechter Verteidiger",2023_2024
93604,NULL,"SC Freiburg",17,LukasKübler,NULL,"Abwehr - Rechter Verteidiger",2024_2025
93604,NULL,"SC Freiburg",17,LukasKübler,NULL,"Abwehr - Rechter Verteidiger",2025_2026
93658,NULL,"FC Schalke 04",NULL,TimAlbutat,NULL,"Mittelfeld - Defensives Mittelfeld",2024_2025
93704,NULL,"1.FSV Mainz 05",23,JosuhaGuilavogui,NULL,"Mittelfeld - Defensives Mittelfeld",2023_2024
93707,NULL,"SC Freiburg",30,ChristianGünter,NULL,"Abwehr - Linker Verteidiger",2022_2023
93707,NULL,"SC Freiburg",30,ChristianGünter,NULL,"Abwehr - Linker Verteidiger",2023_2024
93707,NULL,"SC Freiburg",30,ChristianGünter,NULL,"Abwehr - Linker Verteidiger",2024_2025
93707,NULL,"SC Freiburg",30,ChristianGünter,NULL,"Abwehr - Linker Verteidiger",2025_2026
93740,NULL,"RB Leipzig",4,WilliOrbán,NULL,"Abwehr - Innenverteidiger",2022_2023
93740,NULL,"RB Leipzig",4,WilliOrbán,NULL,"Abwehr - Innenverteidiger",2023_2024
93740,NULL,"RB Leipzig",4,WilliOrbán,NULL,"Abwehr - Innenverteidiger",2024_2025
93740,NULL,"RB Leipzig",4,WilliOrbán,NULL,"Abwehr - Innenverteidiger",2025_2026
93763,NULL,"FC Schalke 04",13,AlexanderSchwolow,NULL,Torwart,2022_2023
93763,NULL,"1.FC Union Berlin",37,AlexanderSchwolow,NULL,Torwart,2023_2024
93763,NULL,"1.FC Union Berlin",37,AlexanderSchwolow,NULL,Torwart,2024_2025
93844,NULL,"SV Werder Bremen",10,LeonardoBittencourt,NULL,"Mittelfeld - Zentrales Mittelfeld",2022_2023
93844,NULL,"SV Werder Bremen",10,LeonardoBittencourt,NULL,"Mittelfeld - Zentrales Mittelfeld",2023_2024
93844,NULL,"SV Werder Bremen",10,LeonardoBittencourt,NULL,"Mittelfeld - Zentrales Mittelfeld",2024_2025
93844,NULL,"SV Werder Bremen",10,LeonardoBittencourt,NULL,"Mittelfeld - Zentrales Mittelfeld",2025_2026
94137,NULL,"1.FC Union Berlin",30,KevinMöhwald,NULL,"Mittelfeld - Zentrales Mittelfeld",2022_2023
94192,NULL,"Borussia Dortmund",30,PatrickDrewes,NULL,Torwart,2025_2026
94201,NULL,"1.FC Union Berlin",31,RobinKnoche,NULL,"Abwehr - Innenverteidiger",2022_2023
94201,NULL,"1.FC Union Berlin",31,RobinKnoche,NULL,"Abwehr - Innenverteidiger",2023_2024
94771,NULL,"1.FC Union Berlin",NULL,AndreasVoglsammer,NULL,"Sturm - Mittelstürmer",2022_2023
96167,NULL,"FC Schalke 04",8,AminYounes,NULL,"Sturm - Linksaußen",2024_2025
96167,NULL,"FC Schalke 04",NULL,AminYounes,NULL,"Sturm - Linksaußen",2025_2026
99451,NULL,"SV Werder Bremen",25,MarkusKolke,NULL,Torwart,2024_2025
99451,NULL,"SV Werder Bremen",25,MarkusKolke,NULL,Torwart,2025_2026
100986,NULL,"Borussia Dortmund",24,ThomasMeunier,NULL,"Abwehr - Rechter Verteidiger",2022_2023
100986,NULL,"Borussia Dortmund",24,ThomasMeunier,NULL,"Abwehr - Rechter Verteidiger",2023_2024
102226,NULL,"Borussia Dortmund",10,ThorganHazard,NULL,"Mittelfeld - Offensives Mittelfeld",2022_2023
102226,NULL,"Borussia Dortmund",NULL,ThorganHazard,NULL,"Mittelfeld - Offensives Mittelfeld",2023_2024
106270,NULL,"1.FC Köln",11,FlorianKainz,NULL,"Mittelfeld - Offensives Mittelfeld",2022_2023
106270,NULL,"1.FC Köln",11,FlorianKainz,NULL,"Mittelfeld - Offensives Mittelfeld",2023_2024
106270,NULL,"1.FC Köln",11,FlorianKainz,NULL,"Mittelfeld - Offensives Mittelfeld",2024_2025
106270,NULL,"1.FC Köln",11,FlorianKainz,NULL,"Mittelfeld - Offensives Mittelfeld",2025_2026
106405,NULL,"FC Augsburg",6,JeffreyGouweleeuw,NULL,"Abwehr - Innenverteidiger",2022_2023
106405,NULL,"FC Augsburg",6,JeffreyGouweleeuw,NULL,"Abwehr - Innenverteidiger",2023_2024
106405,NULL,"FC Augsburg",6,JeffreyGouweleeuw,NULL,"Abwehr - Innenverteidiger",2024_2025
106405,NULL,"FC Augsburg",6,JeffreyGouweleeuw,NULL,"Abwehr - Innenverteidiger",2025_2026
106872,NULL,"Borussia Mönchengladbach",7,KevinStöger,NULL,"Mittelfeld - Offensives Mittelfeld",2024_2025
106872,NULL,"Borussia Mönchengladbach",7,KevinStöger,NULL,"Mittelfeld - Offensives Mittelfeld",2025_2026
106987,NULL,"FC Bayern München",18,MarcelSabitzer,NULL,"Mittelfeld - Zentrales Mittelfeld",2022_2023
106987,NULL,"Borussia Dortmund",20,MarcelSabitzer,NULL,"Mittelfeld - Zentrales Mittelfeld",2023_2024
106987,NULL,"Borussia Dortmund",20,MarcelSabitzer,NULL,"Mittelfeld - Zentrales Mittelfeld",2024_2025
106987,NULL,"Borussia Dortmund",20,MarcelSabitzer,NULL,"Mittelfeld - Zentrales Mittelfeld",2025_2026
107219,NULL,"1.FC Köln",17,LeartPaçarada,NULL,"Abwehr - Linker Verteidiger",2023_2024
107219,NULL,"1.FC Köln",17,LeartPaçarada,NULL,"Abwehr - Linker Verteidiger",2024_2025
107574,NULL,"Hamburger SV",23,JonasMeffert,NULL,"Mittelfeld - Defensives Mittelfeld",2022_2023
107574,NULL,"Hamburger SV",23,JonasMeffert,NULL,"Mittelfeld - Defensives Mittelfeld",2023_2024
107574,NULL,"Hamburger SV",23,JonasMeffert,NULL,"Mittelfeld - Defensives Mittelfeld",2024_2025
