tm_id,saison,market_value_eur,last_updated,updated_at
85543,2025_2026,250000,NULL,2025-06-05
85543,2025_2026,250000,NULL,2025-12-19
85791,2022_2023,6000000,NULL,2022-03-24
85791,2022_2023,4500000,NULL,2022-06-09
85791,2022_2023,3500000,NULL,2022-11-09
85791,2023_2024,3000000,NULL,2023-06-22
85791,2023_2024,3000000,NULL,2023-12-14
85791,2024_2025,2500000,NULL,2024-05-29
85791,2024_2025,1800000,NULL,2024-12-20
85864,2024_2025,1000000,NULL,2024-05-27
85864,2024_2025,800000,NULL,2024-10-16
85864,2025_2026,800000,NULL,2025-06-19
85864,2025_2026,800000,NULL,2025-12-16
85867,2022_2023,4000000,NULL,2022-06-09
85867,2022_2023,2000000,NULL,2022-09-21
85867,2022_2023,2000000,NULL,2022-11-09
85906,2022_2023,2300000,NULL,2022-06-09
85906,2022_2023,2000000,NULL,2022-11-09
85906,2023_2024,1800000,NULL,2023-06-22
85906,2023_2024,1500000,NULL,2023-12-14
85906,2024_2025,1200000,NULL,2024-05-29
85906,2024_2025,800000,NULL,2024-10-09
85906,2024_2025,800000,NULL,2024-12-20
85906,2025_2026,1500000,NULL,2025-03-27
85906,2025_2026,1500000,NULL,2025-06-05
85906,2025_2026,1200000,NULL,2025-12-19
85908,2022_2023,200000,NULL,2022-06-13
85908,2022_2023,200000,NULL,2022-12-08
85908,2023_2024,250000,NULL,2023-06-13
85908,2023_2024,250000,NULL,2023-12-15
85908,2024_2025,250000,NULL,2024-06-06
85908,2024_2025,250000,NULL,2024-12-19
89701,2022_2023,3500000,NULL,2022-06-09
89701,2022_2023,3500000,NULL,2022-11-09
90317,2023_2024,350000,NULL,2023-06-13
90317,2023_2024,350000,NULL,2023-12-14
90317,2024_2025,350000,NULL,2024-05-29
90317,2024_2025,350000,NULL,2024-12-20
90317,2025_2026,250000,NULL,2025-06-05
90317,2025_2026,250000,NULL,2025-12-19
91849,2022_2023,7000000,NULL,2022-06-03
91849,2022_2023,3000000,NULL,2022-11-07
