tm_id,full_name_tm,date_of_birth,club_name,shirt_number,season,market_value_eur,last_updated
364258,Bernardo,1995-05-14,"TSG 1899 Hoffenheim",13,2023/2024,4000000,2026-05-27
157672,"Vladimír Coufal",1992-08-22,"TSG 1899 Hoffenheim",34,2023/2024,2500000,2026-05-27
574193,"Bambasé Conté",2003-07-07,"TSG 1899 Hoffenheim",20,2023/2024,4000000,2026-06-01
203123,"Haris Tabakovic",1994-06-20,"TSG 1899 Hoffenheim",26,2023/2024,3500000,2026-05-27
46580,"Andrej Kramaric",1991-06-19,"TSG 1899 Hoffenheim",27,2023/2024,2500000,2026-05-27
552057,"Adam Hlozek",2002-07-25,"TSG 1899 Hoffenheim",23,2023/2024,10000000,2026-05-27
987770,"Alessandro Vogt",2005-02-03,"TSG 1899 Hoffenheim",NULL,2023/2024,8000000,2026-06-02
718460,"Lúkas Petersson",2004-02-09,"TSG 1899 Hoffenheim",36,2023/2024,600000,2026-05-27
983677,"Mats Rots",2006-03-11,"TSG 1899 Hoffenheim",39,2023/2024,12000000,2026-05-28
620295,"Mio Backhaus",2004-04-16,"SC Freiburg",NULL,2023/2024,15000000,2026-05-27
93707,"Christian Günter",1993-02-28,"SC Freiburg",30,2023/2024,2000000,2026-05-27
337036,"Florent Muslija",1998-07-06,"SC Freiburg",23,2023/2024,1800000,2026-06-01
645774,"Eren Dinkçi",2001-12-13,"SC Freiburg",18,2023/2024,6000000,2026-05-27
863759,"Bruno Ogbus",2005-12-17,"SC Freiburg",43,2023/2024,15000000,2026-05-27
1159439,"Rouven Tarnutzer",2007-07-24,"SC Freiburg",NULL,2023/2024,400000,2026-06-17
927353,"Johan Manzambi",2005-10-14,"SC Freiburg",44,2023/2024,50000000,2026-05-27
916623,"Keisuke Goto",2005-06-03,"SC Freiburg",42,2023/2024,10000000,2026-06-04
432403,"Rihito Yamamoto",2001-12-12,"SC Freiburg",20,2023/2024,7000000,2026-06-04
93604,"Lukas Kübler",1992-08-30,"SC Freiburg",17,2023/2024,1500000,2026-05-27
