tm_id,dfl_id,club_name,shirt_number,full_name_tm,date_of_birth,position,saison,age
84435,NULL,"TSG 1899 Hoffenheim",22,KevinVogt,1991-09-23,"Abwehr - Innenverteidiger",2022_2023,34
84435,NULL,"1.FC Union Berlin",2,KevinVogt,1991-09-23,"Abwehr - Innenverteidiger",2023_2024,34
84435,NULL,"1.FC Union Berlin",2,KevinVogt,1991-09-23,"Abwehr - Innenverteidiger",2024_2025,34
84938,NULL,"1.FC Köln",1,TimoHorn,1993-05-12,Torwart,2022_2023,33
84993,NULL,"Hamburger SV",1,"DanielHeuer Fernandes",1992-11-13,Torwart,2022_2023,33
84993,NULL,"Hamburger SV",1,"DanielHeuer Fernandes",1992-11-13,Torwart,2023_2024,33
84993,NULL,"Hamburger SV",1,"DanielHeuer Fernandes",1992-11-13,Torwart,2024_2025,33
84993,NULL,"Hamburger SV",1,"DanielHeuer Fernandes",1992-11-13,Torwart,2025_2026,33
85534,NULL,"SV 07 Elversberg",28,TimBoss,1993-06-28,Torwart,2023_2024,33
85534,NULL,"SV 07 Elversberg",28,TimBoss,1993-06-28,Torwart,2024_2025,33
85534,NULL,"SV 07 Elversberg",28,TimBoss,1993-06-28,Torwart,2025_2026,33
85543,NULL,"Bayer 04 Leverkusen",36,NiklasLomb,1993-07-28,Torwart,2022_2023,32
85543,NULL,"Bayer 04 Leverkusen",36,NiklasLomb,1993-07-28,Torwart,2023_2024,32
85543,NULL,"Bayer 04 Leverkusen",36,NiklasLomb,1993-07-28,Torwart,2024_2025,32
85543,NULL,"Bayer 04 Leverkusen",36,NiklasLomb,1993-07-28,Torwart,2025_2026,32
85791,NULL,"Borussia Mönchengladbach",18,StefanLainer,1992-08-27,"Abwehr - Rechter Verteidiger",2022_2023,33
85791,NULL,"Borussia Mönchengladbach",18,StefanLainer,1992-08-27,"Abwehr - Rechter Verteidiger",2023_2024,33
85791,NULL,"Borussia Mönchengladbach",NULL,StefanLainer,NULL,"Abwehr - Rechter Verteidiger",2024_2025,NULL
85864,NULL,"FC Schalke 04",1,LorisKarius,1993-06-22,Torwart,2024_2025,33
85864,NULL,"FC Schalke 04",1,LorisKarius,1993-06-22,Torwart,2025_2026,33
85867,NULL,"Borussia Dortmund",14,NicoSchulz,1993-04-01,"Abwehr - Linker Verteidiger",2022_2023,33
85906,NULL,"1.FSV Mainz 05",21,"Dannyda Costa",1993-07-13,"Abwehr - Innenverteidiger",2022_2023,33
85906,NULL,"1.FSV Mainz 05",21,"Dannyda Costa",1993-07-13,"Abwehr - Innenverteidiger",2023_2024,33
85906,NULL,"1.FSV Mainz 05",21,"Dannyda Costa",1993-07-13,"Abwehr - Innenverteidiger",2024_2025,33
85906,NULL,"1.FSV Mainz 05",21,"Dannyda Costa",1993-07-13,"Abwehr - Innenverteidiger",2025_2026,33
85908,NULL,"SV 07 Elversberg",11,LucaDürholtz,1993-08-18,"Mittelfeld - Zentrales Mittelfeld",2022_2023,32
85908,NULL,"SV 07 Elversberg",11,LucaDürholtz,1993-08-18,"Mittelfeld - Zentrales Mittelfeld",2023_2024,32
85908,NULL,"SV 07 Elversberg",11,LucaDürholtz,1993-08-18,"Mittelfeld - Zentrales Mittelfeld",2024_2025,32
89701,NULL,"Bayer 04 Leverkusen",NULL,CharlesAránguiz,1989-04-17,"Mittelfeld - Zentrales Mittelfeld",2022_2023,37
90317,NULL,"1.FSV Mainz 05",33,DanielBatz,1991-01-12,Torwart,2023_2024,35
90317,NULL,"1.FSV Mainz 05",33,DanielBatz,1991-01-12,Torwart,2024_2025,35
